npj,nps,pps,pec_sr,pec_jr,max_pto_sr,avg_pto_sr,min_pto_sr,max_pto_jr,avg_pto_jr,min_pto_jr,ptts,label,jr_cost,sr_cost
1,2,29.845674333027556,2.9747195102462607,6.712882024161894,0.003400449743171444,0.0028268346255023408,0.0022532195078332376,0.0,0.0,0.0,39.5897162648195,"(1, 2)",204205430,1236365260
2,2,28.6229488804702,2.9825044317533607,3.138230535583142,0.010475256014351422,0.010273254525894187,0.010071253037436952,0.036433779252627405,0.018216889626313702,0.0,19.6840486509157,"(2, 2)",408410860,1236365260
3,2,23.809578998284586,2.59114405292076,1.7715114346191376,0.22726784432327188,0.1691818405794384,0.11109583683560491,8.337372274741217,6.2069345493210974,4.230114394267897,2.129232589087683,"(3, 2)",612616290,1236365260
4,2,23.688488929303908,2.573388163158033,1.724525439642996,0.22684599146882042,0.19304075961632422,0.159235527763828,41.51877268871976,27.461814080912994,16.13618161000788,0.25125628140703515,"(4, 2)",816821720,1236365260
1,3,27.84645872209734,1.727365276180066,6.310331061694793,0.009114919788461373,0.006303054959923258,0.0028174396593084574,0.0,0.0,0.0,46.58164150615999,"(1, 3)",204205430,1854547890
2,3,15.365280015700039,0.9164321382288533,1.6408913792840967,3.2778704775283236,2.491370359662791,1.7916137168940147,3.9689500827108906,3.3277254324282195,2.686500782145548,34.3241004877151,"(2, 3)",408410860,1854547890
3,3,7.807772582857422,0.4448337865514633,0.5208528796735014,16.522952263381114,12.455493134831562,9.096237493254312,24.63429126687223,18.70037375587573,13.279413413360627,22.514212163466695,"(3, 3)",612616290,1854547890
4,3,6.3915293690900885,0.3829838906708081,0.3215277820720603,27.94934157274693,20.711731188810692,14.318697681179364,48.13593187802187,32.445665206439074,19.092943431221926,14.159713945172825,"(4, 3)",816821720,1854547890
1,4,9.690970605545463,0.3412073114439624,2.2314427372676673,12.138700462526485,8.476163376234924,5.338265319131649,7.3697228899288385,7.3697228899288385,7.3697228899288385,49.65439413175342,"(1, 4)",204205430,2472730520
2,4,5.9407460946539965,0.1860957203137367,0.6169460452084056,30.885698500109,20.753564160547576,12.776483588078134,21.718210588847125,18.8007920437304,15.883373498613677,39.60919154646092,"(2, 4)",408410860,2472730520
3,4,5.532353293094035,0.21590637402764956,0.3616946982614802,44.105271046575815,30.082204547342315,18.45828118336132,36.38385160409185,27.20441859286932,19.459488716290313,29.02876280535855,"(3, 4)",612616290,2472730520
4,4,5.280383728617842,0.24960316296816787,0.25446740332848256,54.654974674763096,37.51267537594353,22.56917294375488,53.49623279793282,36.47638542043353,21.672477121417888,19.39027123963237,"(4, 4)",816821720,2472730520
1,5,5.404209734714473,0.0872038137504574,1.2987581283865215,39.290383249644414,24.076427230592962,12.563754315111712,16.44252064930147,16.44252064930147,16.44252064930147,51.47676466603441,"(1, 5)",204205430,3090913150
2,5,5.141200065917454,0.11754695960444873,0.5559234956272705,54.315282555306865,33.9977076261588,17.89826619411128,27.441908617987217,23.93289189132147,20.423875164655726,42.7978944010209,"(2, 5)",408410860,3090913150
3,5,5.067161686832115,0.16607616668252204,0.3427758171008131,67.15130530329121,42.75491468788728,21.982937949193996,40.117300059698216,30.673781993014188,22.115238399924774,31.451688775990217,"(3, 5)",612616290,3090913150
4,5,5.121655084891602,0.2246835482936498,0.24742110718628632,75.26746396198577,48.92893165256021,25.46449941593548,54.65460595100459,37.68289019011942,23.042912863165892,21.081376297105408,"(4, 5)",816821720,3090913150
1,6,4.8585969719788284,0.05471348138737872,1.2075618344712837,61.68285304812589,35.94957122620577,16.65334218094553,21.270345094868194,21.270345094868194,21.270345094868194,49.98992409484785,"(1, 6)",204205430,3709095780
2,6,4.862243320470526,0.1012241126118114,0.5374890380771311,73.49602274415986,45.29987564612205,20.645054047659393,29.468878481243305,25.649123384165687,21.82936828708807,42.93807851899138,"(2, 6)",408410860,3709095780
3,6,4.971305559810223,0.15777351089389327,0.33766538407105506,82.67509069716824,51.99500775371058,23.551106605778582,41.21356732794383,31.734378769089044,23.27597001447717,32.21950301204819,"(3, 6)",612616290,3709095780
4,6,4.982184234597992,0.2168065599826932,0.24210958728762758,88.44786845561076,57.9566296518876,27.205771331489892,56.78668581698806,38.70716001882663,23.10710430859576,20.563720114060104,"(4, 6)",816821720,3709095780
1,7,4.691068900413671,0.04592970300688411,1.1929641617678404,78.66260876032975,45.21366959356002,18.680691019696653,22.283369069514603,22.283369069514603,22.283369069514603,51.52083612488275,"(1, 7)",204205430,4327278410
2,7,4.7990807296753415,0.09480695485176399,0.539928430310552,86.60589176994927,52.636589289478096,20.723554770561485,30.863947862980496,26.87707466790158,22.890201472822667,42.53761044336544,"(2, 7)",408410860,4327278410
3,7,4.956934379727636,0.15368188705129926,0.34055590891867654,90.55881070068014,58.334802120301234,24.149468838504347,41.652190822911386,31.802629653147125,22.683241403186,32.81644091546006,"(3, 7)",612616290,4327278410
4,7,5.078451389371542,0.21482091364623151,0.2465579189818052,94.66084774325621,62.808880121542494,26.572802461835998,55.785074750366356,37.8100847158834,22.585509982423282,21.690383786114705,"(4, 7)",816821720,4327278410
